,url,
0,https://www.brilliantearth.com/diamond/round/,
1,https://www.brilliantearth.com/diamond/oval/,
2,https://www.brilliantearth.com/diamond/cushion/,
3,https://www.brilliantearth.com/diamond/pear/,
4,https://www.brilliantearth.com/diamond/princess/,
5,https://www.brilliantearth.com/diamond/emerald-cut/,
6,https://www.brilliantearth.com/diamond/marquise/,
7,https://www.brilliantearth.com/diamond/asscher/,
8,https://www.brilliantearth.com/diamond/radiant/,
9,https://www.brilliantearth.com/diamond/heart/,
